CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Post,District,Neighborhood,Location 1,Total Incidents
18/06/16,0:33:00,4E,2700 CHESLEY AVE,I,HANDS,424,NORTHEASTERN,North Harford Road,"(39.3679000000, -76.5555900000)",1
18/06/16,0:39:00,4B,2700 FAIT AVE,O,KNIFE,232,SOUTHEASTERN,Canton,"(39.2831500000, -76.5783400000)",1
18/06/16,15,9S,2400 CYLBURN AV,Outside,FIREARM,532,NORTHERN,Levindale,"(39.3510400000, -76.6597600000)",1
18/06/16,1:53:00,3AF,2300 ORLEANS ST,O,FIREARM,221,SOUTHEASTERN,McElderry Park,"(39.2955600000, -76.5844600000)",1
18/06/16,2:05:00,6C,800 N WOLFE ST,I,,321,EASTERN,Middle East,"(39.3002700000, -76.5909700000)",1
18/06/16,2:35:00,4C,ST & IMLA ST,O,OTHER,241,SOUTHEASTERN,Bayview,"(39.2891900000, -76.5391400000)",1
18/06/16,2:35:00,4C,ST & IMLA ST,O,OTHER,241,SOUTHEASTERN,Bayview,"(39.2891900000, -76.5391400000)",1
18/06/16,2:45:00,4E,2400 W BELVEDERE AVE,I,HANDS,532,NORTHERN,Levindale,"(39.3544800000, -76.6623700000)",1
18/06/16,3:45:00,5D,1100 RUSSELL ST,I,,941,SOUTHERN,Carroll - Camden Industrial Area,"(39.2789600000, -76.6245300000)",1
18/06/16,4:00:00,4E,ST & N PATTERSON PARK AV,I,HANDS,321,EASTERN,McElderry Park,"(39.2976200000, -76.5850500000)",1
18/06/16,4:00:00,3AF,200 N LIBERTY ST,O,FIREARM,111,CENTRAL,Downtown,"(39.2917300000, -76.6171300000)",1
18/06/16,4:00:00,6G,600 S ANN ST,I,,213,SOUTHEASTERN,Fells Point,"(39.2844700000, -76.5912800000)",1
18/06/16,4:26:00,4E,2600 PENNSYLVANIA AVE,I,HANDS,733,WESTERN,Penn North,"(39.3115700000, -76.6443300000)",1
18/06/16,2251,9S,2300 DENISON ST,Outside,FIREARM,812,SOUTHWESTERN,Mount Holly,"(39.3131800000, -76.6744000000)",1
18/06/16,2253,9S,4200 NICHOLAS AV,Outside,FIREARM,442,NORTHEASTERN,Belair-Edison,"(39.3292000000, -76.5640300000)",1
18/06/16,23:00:00,4E,2500 W BALTIMORE ST,O,HANDS,842,SOUTHWESTERN,Shipley Hill,"(39.2877300000, -76.6572500000)",1
18/06/16,23:15:00,4C,700 RAMSAY ST,O,OTHER,931,SOUTHERN,Barre Circle,"(39.2838600000, -76.6272100000)",1
18/06/16,0:00:00,5A,300 S CASTLE ST,I,,212,SOUTHEASTERN,Upper Fells Point,"(39.2874800000, -76.5879300000)",1
18/06/16,0:00:00,6H,4000 CEDARDALE RD,O,,643,NORTHWESTERN,East Arlington,"(39.3334400000, -76.6694900000)",1
18/06/16,0:30:00,4E,1300 N CAROLINE ST,O,HANDS,343,EASTERN,Oliver,"(39.3053300000, -76.5980900000)",1
18/06/16,0:30:00,4E,2400 E FEDERAL ST,I,HANDS,331,EASTERN,Broadway East,"(39.3088900000, -76.5838300000)",1
18/06/16,4:45:00,4F,3500 E BALTIMORE ST,O,,223,SOUTHEASTERN,Baltimore Highlands,"(39.2925000000, -76.5683700000)",1
18/06/16,5:03:00,5A,3000 RAYNER AVE,I,,814,SOUTHWESTERN,Franklintown Road,"(39.2964300000, -76.6670300000)",1
18/06/16,5:15:00,6D,1000 FELL ST,O,,213,SOUTHEASTERN,Fells Point,"(39.2806200000, -76.5894600000)",1
18/06/16,5:30:00,4C,1500 RUSSELL ST,I,OTHER,941,SOUTHERN,Carroll - Camden Industrial Area,"(39.2740800000, -76.6276900000)",1
18/06/16,6:40:00,6G,RD & GWYNNS FALLS PY,I,,731,WESTERN,Parkview/Woodbrook,"(39.3167900000, -76.6506100000)",1
18/06/16,7:05:00,4F,1800 ORLEANS ST,I,,321,EASTERN,Dunbar-Broadway,"(39.2952900000, -76.5912900000)",1
18/06/16,8:00:00,5A,3200 LABYRINTH RD,I,,632,NORTHWESTERN,Cross Country,"(39.3712000000, -76.7000400000)",1
18/06/16,8:00:00,6D,200 GUILFORD AVE,O,,111,CENTRAL,Downtown,"(39.2914800000, -76.6111400000)",1
18/06/16,8:14:00,6G,3700 W BELVEDERE AVE,I,,633,NORTHWESTERN,Arlington,"(39.3460800000, -76.6806500000)",1
18/06/16,9:00:00,4E,6800 FAIRDEL AVE,I,HANDS,424,NORTHEASTERN,North Harford Road,"(39.3601500000, -76.5377600000)",1
18/06/16,9:30:00,5A,400 FURROW ST,I,,841,SOUTHWESTERN,Carrollton Ridge,"(39.2821900000, -76.6518600000)",1
18/06/16,9:40:00,4E,5700 CHINQUAPIN PKWY,I,HANDS,522,NORTHERN,Glen Oaks,"(39.3604400000, -76.5975000000)",1
18/06/16,9:40:00,4E,2400 ETTING ST,I,HANDS,733,WESTERN,Penn North,"(39.3112700000, -76.6411200000)",1
18/06/16,10:00:00,4E,3900 GROVELAND AVE,I,HANDS,621,NORTHWESTERN,West Arlington,"(39.3407300000, -76.6842200000)",1
18/06/16,10:10:00,3GO,400 W FRANKLIN ST,I,OTHER,111,CENTRAL,Downtown,"(39.2948300000, -76.6220500000)",1
18/06/16,11:00:00,5C,2400 BRIDGEHAMPTON DR,I,,423,NORTHEASTERN,Hamilton Hills,"(39.3708600000, -76.5649400000)",1
18/06/16,11:15:00,5B,800 BENNINGHAUS RD,I,,523,NORTHERN,Mid-Govans,"(39.3598300000, -76.6036100000)",1
18/06/16,11:22:00,4E,1500 MAY CT,I,HANDS,212,SOUTHEASTERN,Dunbar-Broadway,"(39.2943500000, -76.5971000000)",1
18/06/16,12:00:00,5C,600 E 36TH ST,I,,543,NORTHERN,Waverly,"(39.3323000000, -76.6072200000)",1
18/06/16,12:30:00,5A,900 SAINT PAUL ST,I,,142,CENTRAL,Mount Vernon,"(39.3000000000, -76.6141800000)",1
18/06/16,13:10:00,5A,1300 E NORTH AVE,I,,343,EASTERN,Oliver,"(39.3118600000, -76.6003200000)",1
18/06/16,13:24:00,4C,900 HERNDON CT,I,OTHER,913,SOUTHERN,Brooklyn,"(39.2282600000, -76.6005000000)",1
18/06/16,13:30:00,5A,2600 BOONE ST,I,,513,NORTHERN,Better Waverly,"(39.3202800000, -76.6086000000)",1
18/06/16,13:30:00,5A,900 SAINT PAUL ST,I,,142,CENTRAL,Mount Vernon,"(39.2999500000, -76.6141800000)",1
18/06/16,13:30:00,6C,1100 LIGHT ST,I,,942,SOUTHERN,Riverside,"(39.2763400000, -76.6122200000)",1
18/06/16,13:43:00,4A,3600 PARK HEIGHTS AVE,O,FIREARM,612,NORTHWESTERN,Park Circle,"(39.3296000000, -76.6591400000)",1
18/06/16,13:50:00,6G,600 E PRATT ST,I,,112,CENTRAL,Inner Harbor,"(39.2867000000, -76.6078100000)",1
18/06/16,14:00:00,6E,2800 ELLICOTT DY,O,,814,SOUTHWESTERN,Winchester,"(41.5286100000, -76.6537300000)",1
18/06/16,14:10:00,7A,HEIGHTS AV & W COLD SPRING LN,O,,614,NORTHWESTERN,Central Park Heights,"(39.3396300000, -76.6664500000)",1
18/06/16,15:00:00,6D,100 HOPKINS PL,I,,113,CENTRAL,Downtown West,"(39.2874600000, -76.6177100000)",1
18/06/16,15:00:00,6D,0 S CHARLES ST,I,,111,CENTRAL,Downtown,"(39.2885400000, -76.6150300000)",1
18/06/16,15:59:00,4E,1200 W CROSS ST,I,HANDS,932,SOUTHERN,Washington Village/Pigtown,"(39.2825400000, -76.6321100000)",1
18/06/16,16:00:00,6G,3000 ARUNAH AVE,O,,814,SOUTHWESTERN,Franklintown Road,"(39.2950600000, -76.6674400000)",1
18/06/16,17:00:00,4E,700 POPLAR GROVE ST,O,HANDS,814,SOUTHWESTERN,Franklintown Road,"(39.2966200000, -76.6650800000)",1
18/06/16,17:00:00,5B,1000 N CALVERT ST,I,,141,CENTRAL,Mid-Town Belvedere,"(39.3016300000, -76.6131300000)",1
18/06/16,17:07:00,7A,1500 62ND ST,O,,441,NORTHEASTERN,Pulaski Industrial Area,"(39.3110400000, -76.5310300000)",1
18/06/16,17:16:00,4E,700 N BELNORD AVE,I,HANDS,323,EASTERN,Madison-Eastend,"(39.2995100000, -76.5788300000)",1
18/06/16,17:36:00,4E,2600 GROGAN AVE,I,HANDS,332,EASTERN,Berea,"(39.3064100000, -76.5807400000)",1
18/06/16,17:40:00,4C,ST & FOLCROFT ST,O,OTHER,241,SOUTHEASTERN,Bayview,"(39.2890800000, -76.5419200000)",1
18/06/16,18:00:00,3B,500 GUSRYAN ST,O,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.2873200000, -76.5409100000)",1
18/06/16,18:33:00,4E,4900 FRANKFORD AVE,O,HANDS,444,NORTHEASTERN,Frankford,"(39.3315400000, -76.5438700000)",1
18/06/16,18:33:00,4E,4900 FRANKFORD AVE,O,HANDS,444,NORTHEASTERN,Frankford,"(39.3315400000, -76.5438700000)",1
18/06/16,18:50:00,4E,3300 SAINT AMBROSE AVE,I,HANDS,614,NORTHWESTERN,Central Park Heights,"(39.3421300000, -76.6704500000)",1
18/06/16,19:00:00,6B,NORTH AV & N SMALLWOOD ST,O,,731,WESTERN,Mondawmin,"(39.3096500000, -76.6527000000)",1
18/06/16,19:15:00,4E,2400 N CHARLES ST,O,HANDS,514,NORTHERN,Old Goucher,"(39.3170900000, -76.6169800000)",1
18/06/16,19:30:00,6E,4800 TRUESDALE AVE,O,,443,NORTHEASTERN,Frankford,"(39.3169500000, -76.5487200000)",1
18/06/16,19:40:00,3AF,800 HOLLINS ST,O,FIREARM,931,SOUTHERN,Hollins Market,"(39.2879500000, -76.6292200000)",1
18/06/16,20:11:00,6B,1100 WASHINGTON BLVD,O,,932,SOUTHERN,Washington Village/Pigtown,"(39.2828800000, -76.6326000000)",1
18/06/16,20:30:00,4E,3600 GREENWAY,I,HANDS,512,NORTHERN,Oakenshawe,"(39.3316600000, -76.6160100000)",1
18/06/16,20:30:00,4E,2400 KERMIT CT,I,HANDS,921,SOUTHERN,Westport,"(39.2627300000, -76.6408200000)",1
18/06/16,20:30:00,4E,2400 KERMIT CT,I,HANDS,921,SOUTHERN,Westport,"(39.2627300000, -76.6408200000)",1
18/06/16,20:49:00,4C,600 MAUDE AVE,I,OTHER,913,SOUTHERN,Brooklyn,"(39.2384200000, -76.6011100000)",1
18/06/16,20:58:00,6G,1300 LANCASTER ST,I,,213,SOUTHEASTERN,Fells Point,"(39.2824200000, -76.5969600000)",1
18/06/16,21:20:00,4C,1300 N MONTFORD AVE,O,OTHER,331,EASTERN,Broadway East,"(39.3061600000, -76.5841300000)",1
18/06/16,21:35:00,4C,3700 SINCLAIR LN,O,OTHER,433,NORTHEASTERN,Orchard Ridge,"(39.3135400000, -76.5658300000)",1
18/06/16,21:35:00,6C,6300 EASTERN AVE,I,,242,SOUTHEASTERN,Pulaski Industrial Area,"(39.2876100000, -76.5398200000)",1
18/06/16,21:50:00,4A,2300 DENISON ST,O,FIREARM,812,SOUTHWESTERN,Mount Holly,"(39.3131800000, -76.6744000000)",1
18/06/16,22:13:00,3D,6800 REISTERSTOWN RD,I,,631,NORTHWESTERN,Reisterstown Station,"(39.3600200000, -76.7075700000)",1
18/06/16,22:54:00,4A,4200 NICHOLAS AVE,O,FIREARM,442,NORTHEASTERN,Belair-Edison,"(39.3292000000, -76.5640300000)",1
17/06/16,0:00:00,5A,1200 CHERRY HILL RD,I,,922,SOUTHERN,Cherry Hill,"(39.2510500000, -76.6316800000)",1
17/06/16,0:26:00,4E,3600 MONTEREY RD,I,HANDS,412,NORTHEASTERN,Ednor Gardens-Lakeside,"(39.3324600000, -76.5960300000)",1
